Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3512308;Interior;Conchas;3954;84;;;
3512407;Interior;Cordeirópolis;6026;116;;;
3512506;Interior;Coroados;1587;24;;;
3512605;Interior;Coronel Macedo;683;30;;;
3512704;Interior;Corumbataí;976;8;;;
3512803;Interior;Cosmópolis;8022;194;;;
3512902;Interior;Cosmorama;2008;44;;;
3513009;RMSP (exceto capital);Cotia;26740;797;;;
3513108;Interior;Cravinhos;2255;116;;;
3513207;Interior;Cristais Paulista;1305;18;;;
3513306;Interior;Cruzália;223;6;;;
3513405;Interior;Cruzeiro;7169;244;;;
3513504;Interior;Cubatão;17486;545;;;
3513603;Interior;Cunha;1169;43;;;
3513702;Interior;Descalvado;8641;103;;;
3513801;RMSP (exceto capital);Diadema;31182;1544;;;
3513850;Interior;Dirce Reis;328;6;;;
3513900;Interior;Divinolândia;2281;49;;;
3514007;Interior;Dobrada;626;13;;;
3514106;Interior;Dois Córregos;2077;46;;;
3514205;Interior;Dolcinópolis;414;9;;;
3514304;Interior;Dourado;2560;26;;;
3514403;Interior;Dracena;11453;300;;;
3514502;Interior;Duartina;2073;34;;;
3514601;Interior;Dumont;2544;28;;;
3514700;Interior;Echaporã;817;29;;;
3514809;Interior;Eldorado;3247;33;;;
3514908;Interior;Elias Fausto;2533;41;;;
3514924;Interior;Elisiário;634;13;;;
3514957;Interior;Embaúba;130;11;;;
3515004;RMSP (exceto capital);Embu das Artes;11161;731;;;
3515103;RMSP (exceto capital);Embu-Guaçu;5901;236;;;
3515129;Interior;Emilianópolis;881;10;;;
3515152;Interior;Engenheiro Coelho;4242;66;;;
3515186;Interior;Espírito Santo do Pinhal;13054;136;;;
3515194;Interior;Espírito Santo do Turvo;824;11;;;
3515202;Interior;Estrela d'Oeste;3137;39;;;
3515301;Interior;Estrela do Norte;657;8;;;
3515350;Interior;Euclides da Cunha Paulista;535;18;;;
3515400;Interior;Fartura;4457;66;;;
3515509;Interior;Fernandópolis;19166;406;;;
3515608;Interior;Fernando Prestes;1436;14;;;
3515657;Interior;Fernão;693;6;;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;10670;526;;;
3515806;Interior;Flora Rica;148;10;;;
3515905;Interior;Floreal;888;9;;;
3516002;Interior;Flórida Paulista;3229;41;;;
3516101;Interior;Florínea;443;17;;;
3516200;Interior;Franca;38974;1092;;;
3516309;RMSP (exceto capital);Francisco Morato;15731;473;;;
3516408;RMSP (exceto capital);Franco da Rocha;18534;432;;;
3516507;Interior;Gabriel Monteiro;1147;8;;;
3516606;Interior;Gália;1009;21;;;
3516705;Interior;Garça;8995;165;;;
3516804;Interior;Gastão Vidigal;543;18;;;
3516853;Interior;Gavião Peixoto;1937;23;;;
3516903;Interior;General Salgado;1579;51;;;
3517000;Interior;Getulina;1060;36;;;
3517109;Interior;Glicério;1232;22;;;
3517208;Interior;Guaiçara;1696;30;;;
3517307;Interior;Guaimbê;954;9;;;
3517406;Interior;Guaíra;9143;241;;;
3517505;Interior;Guapiaçu;2397;98;;;
3517604;Interior;Guapiara;2894;97;;;
3517703;Interior;Guará;3801;116;;;
3517802;Interior;Guaraçaí;1607;30;;;
3517901;Interior;Guaraci;2395;31;;;
3518008;Interior;Guarani d'Oeste;872;8;;;
3518107;Interior;Guarantã;315;25;;;
3518206;Interior;Guararapes;9257;133;;;
3518305;RMSP (exceto capital);Guararema;2571;111;;;
3518404;Interior;Guaratinguetá;17197;383;;;
3518503;Interior;Guareí;4305;39;;;
3518602;Interior;Guariba;5063;130;;;
3518701;Interior;Guarujá;28257;1487;;;
3518800;RMSP (exceto capital);Guarulhos;84711;5530;;;
3518859;Interior;Guatapará;1140;28;;;
3518909;Interior;Guzolândia;865;34;;;
3519006;Interior;Herculândia;1255;33;;;
3519055;Interior;Holambra;3813;20;;;
3519071;Interior;Hortolândia;37211;884;;;
3519105;Interior;Iacanga;1892;34;;;
3519204;Interior;Iacri;1686;24;;;
3519253;Interior;Iaras;300;24;;;
