Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3552502;RMSP (exceto capital);Suzano;29305;1035;;;
3552551;Interior;Suzanápolis;400;12;;;
3552601;Interior;Tabapuã;3215;68;;;
3552700;Interior;Tabatinga;3051;60;;;
3552809;RMSP (exceto capital);Taboão da Serra;19827;1042;;;
3552908;Interior;Taciba;856;27;;;
3553005;Interior;Taguaí;3483;46;;;
3553104;Interior;Taiaçu;1251;15;;;
3553203;Interior;Taiúva;1089;18;;;
3553302;Interior;Tambaú;5059;61;;;
3553401;Interior;Tanabi;6832;132;;;
3553500;Interior;Tapiraí;868;11;;;
3553609;Interior;Tapiratiba;3097;42;;;
3553658;Interior;Taquaral;398;12;;;
3553708;Interior;Taquaritinga;14309;248;;;
3553807;Interior;Taquarituba;6559;117;;;
3553856;Interior;Taquarivaí;1009;21;;;
3553906;Interior;Tarabai;955;35;;;
3553955;Interior;Tarumã;1806;58;;;
3554003;Interior;Tatuí;20880;524;;;
3554102;Interior;Taubaté;35846;1146;;;
3554201;Interior;Tejupá;284;12;;;
3554300;Interior;Teodoro Sampaio;3616;61;;;
3554409;Interior;Terra Roxa;1376;38;;;
3554508;Interior;Tietê;7946;131;;;
3554607;Interior;Timburi;730;12;;;
3554656;Interior;Torre de Pedra;232;13;;;
3554706;Interior;Torrinha;3826;25;;;
3554755;Interior;Trabiju;459;5;;;
3554805;Interior;Tremembé;2889;69;;;
3554904;Interior;Três Fronteiras;1777;39;;;
3554953;Interior;Tuiuti;1221;20;;;
3555000;Interior;Tupã;8105;329;;;
3555109;Interior;Tupi Paulista;3958;55;;;
3555208;Interior;Turiúba;543;4;;;
3555307;Interior;Turmalina;538;7;;;
3555356;Interior;Ubarana;1581;24;;;
3555406;Interior;Ubatuba;11216;155;;;
3555505;Interior;Ubirajara;578;14;;;
3555604;Interior;Uchoa;1885;39;;;
3555703;Interior;União Paulista;319;7;;;
3555802;Interior;Urânia;3063;50;;;
3555901;Interior;Uru;394;5;;;
3556008;Interior;Urupês;930;53;;;
3556107;Interior;Valentim Gentil;4524;76;;;
3556206;Interior;Valinhos;22372;529;;;
3556305;Interior;Valparaíso;4977;89;;;
3556354;Interior;Vargem;605;23;;;
3556404;Interior;Vargem Grande do Sul;5600;116;;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;6645;136;;;
3556503;Interior;Várzea Paulista;13764;311;;;
3556602;Interior;Vera Cruz;706;46;;;
3556701;Interior;Vinhedo;18221;251;;;
3556800;Interior;Viradouro;3104;105;;;
3556909;Interior;Vista Alegre do Alto;1913;23;;;
3556958;Interior;Vitória Brasil;770;10;;;
3557006;Interior;Votorantim;12545;572;;;
3557105;Interior;Votuporanga;22769;508;;;
3557154;Interior;Zacarias;280;12;;;
3557204;Interior;Chavantes;2697;61;;;
3557303;Interior;Estiva Gerbi;1195;36;;;
;;Ignorado;218;0;;;
;;;;;;;
